	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU1	1	106845	129515	18137	156148	194292	342269	1020331	292201	118789	11500	13622	956	115444	70772	64461	54927	23322	19820	32579
OTU2	25	64568	12263	1221	72870	142099	299384	560432	228612	89183	17669	17346	19624	42353	41340	71721	117448	181828	107544	62914
OTU3	2	5352	8092	72	12142	704648	277495	97142	120174	9149	5141	10249	437	1437	8335	3206	37140	18265	5169	4625
OTU4	4	176699	133713	419492	32434	17622	35795	30569	13860	16378	2393	3975	10381	18659	18334	26857	63679	143940	64686	60087
OTU5	1	61644	53217	2154	78003	65742	69630	308413	149628	50443	7338	7892	2214	26973	97578	27026	18668	14536	30633	7530
OTU6	0	192163	106605	259243	113317	110266	40833	47478	32497	13797	1432	2334	33	45	25	60	300	1164	245	244
OTU7	3	238870	91345	28314	85213	96181	54456	64088	39918	38563	4521	2737	3500	12025	6117	6380	19725	33786	10734	4325
OTU8	19	13149	53115	4693	76061	72421	206352	37794	8378	15928	189	554	1559	2208	29804	2	1916	295818	39	21
OTU9	0	49394	16441	534	39495	56597	102275	234707	101643	87130	3499	5960	380	10730	6389	6524	48507	7087	4713	6542
OTU10	6	178935	73978	333	201179	35718	46657	73589	13435	56760	7482	2138	5219	11196	9052	6692	8095	15593	9651	2704
OTU11	0	937	5229	506	2627	14874	49190	264951	217575	61463	9687	13877	1168	26282	1320	2243	6060	1911	1194	809
OTU12	1	216138	143481	171	88340	77402	29999	34389	57341	22834	905	447	157	851	6316	634	1502	233	121	85
OTU13	7	13234	7450	7431	27142	42244	55516	90222	26151	36116	2279	3806	7381	29830	25557	25495	56388	104688	40401	30738
OTU14	4	26405	38304	8201	31265	20714	98796	120035	71180	77801	7516	7588	1378	682	1686	706	14891	62701	15061	8981
OTU15	0	44005	162215	27766	28378	37374	34724	48405	51819	101361	7394	1315	535	513	962	686	8791	20315	5370	3996
OTU16	3	11039	9916	1149	29606	115174	38242	59633	39716	194308	2503	10168	728	721	779	462	8046	38095	6741	4087
OTU17	0	73	17	526826	568	168	501	169	98	89	20	10	13	15	28	43	204	776	75	254
OTU18	1	66191	51909	221691	40199	30740	33890	31461	19859	8339	712	897	48	46	102	157	786	2903	991	707
OTU19	5	34213	25795	130215	27826	26693	38542	41415	19418	23004	869	1482	2326	8924	6942	10214	21362	45110	16866	25962
