OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium stygium
OTU3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.
OTU15	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU12	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
OTU2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU6	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	?
OTU9	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	metagenome
OTU14	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU10	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	?
OTU11	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU16	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	?
OTU7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	metagenome
OTU4	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	?
OTU20	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chlorophyta symbiont of Lubomirskia sp.	?	?
OTU19	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU29	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Cenchrus americanus
OTU18	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	?
OTU21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	DSSD61	?
OTU23	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Nannochloropsis gaditana	?	?
OTU28	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU31	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured Bacteroidetes bacterium
OTU22	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	Bacteroidetes bacterium UKL13-3	?
OTU30	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU27	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
OTU26	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium swingsii
OTU24	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU8	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Phyllopharyngea	Acineta	Acineta flava
OTU40	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria meningitidis
OTU32	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	marine metagenome
OTU37	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome
OTU34	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans
OTU35	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	?
OTU36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU33	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU43	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU39	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
OTU44	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Monodopsis sp. MarTras21	?	?
OTU42	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	?
OTU38	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	?	?
OTU41	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	?
OTU45	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	?	?
OTU46	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	?
OTU47	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU48	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Antarctic bacterium
OTU52	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
OTU49	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?
OTU50	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
OTU53	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	metagenome	?
OTU55	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas arctica
OTU56	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
OTU51	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	?
OTU59	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU58	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	metagenome
OTU57	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	?
OTU60	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	?	?
OTU63	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured archaeon
OTU54	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU62	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
OTU64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides
OTU65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU71	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	?
OTU69	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	?
OTU74	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU70	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	?	uncultured Anaerolineaceae bacterium
OTU68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?
OTU72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU73	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU66	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	?	?
OTU77	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	?
