Genome	WM01_S1_R1_001_val_1.fq.gz Relative Abundance (%)	WM01_S1_R1_001_val_1.fq.gz Mean	WM01_S1_R2_001_val_2.fq.gz Relative Abundance (%)	WM01_S1_R2_001_val_2.fq.gz Mean	WM02_S2_R1_001_val_1.fq.gz Relative Abundance (%)	WM02_S2_R1_001_val_1.fq.gz Mean	WM02_S2_R2_001_val_2.fq.gz Relative Abundance (%)	WM02_S2_R2_001_val_2.fq.gz Mean	WM03_S3_R1_001_val_1.fq.gz Relative Abundance (%)	WM03_S3_R1_001_val_1.fq.gz Mean	WM03_S3_R2_001_val_2.fq.gz Relative Abundance (%)	WM03_S3_R2_001_val_2.fq.gz Mean	WM04_S4_R1_001_val_1.fq.gz Relative Abundance (%)	WM04_S4_R1_001_val_1.fq.gz Mean	WM04_S4_R2_001_val_2.fq.gz Relative Abundance (%)	WM04_S4_R2_001_val_2.fq.gz Mean	WM05_S5_R1_001_val_1.fq.gz Relative Abundance (%)	WM05_S5_R1_001_val_1.fq.gz Mean	WM05_S5_R2_001_val_2.fq.gz Relative Abundance (%)	WM05_S5_R2_001_val_2.fq.gz Mean	WM11_S6_R1_001_val_1.fq.gz Relative Abundance (%)	WM11_S6_R1_001_val_1.fq.gz Mean	WM11_S6_R2_001_val_2.fq.gz Relative Abundance (%)	WM11_S6_R2_001_val_2.fq.gz Mean	WM12_S7_R1_001_val_1.fq.gz Relative Abundance (%)	WM12_S7_R1_001_val_1.fq.gz Mean	WM12_S7_R2_001_val_2.fq.gz Relative Abundance (%)	WM12_S7_R2_001_val_2.fq.gz Mean	WM13_S8_R1_001_val_1.fq.gz Relative Abundance (%)	WM13_S8_R1_001_val_1.fq.gz Mean	WM13_S8_R2_001_val_2.fq.gz Relative Abundance (%)	WM13_S8_R2_001_val_2.fq.gz Mean	WM14_S9_R1_001_val_1.fq.gz Relative Abundance (%)	WM14_S9_R1_001_val_1.fq.gz Mean	WM14_S9_R2_001_val_2.fq.gz Relative Abundance (%)	WM14_S9_R2_001_val_2.fq.gz Mean	WM15_S10_R1_001_val_1.fq.gz Relative Abundance (%)	WM15_S10_R1_001_val_1.fq.gz Mean	WM15_S10_R2_001_val_2.fq.gz Relative Abundance (%)	WM15_S10_R2_001_val_2.fq.gz Mean	WM16_S11_R1_001_val_1.fq.gz Relative Abundance (%)	WM16_S11_R1_001_val_1.fq.gz Mean	WM16_S11_R2_001_val_2.fq.gz Relative Abundance (%)	WM16_S11_R2_001_val_2.fq.gz Mean	WM17_S12_R1_001_val_1.fq.gz Relative Abundance (%)	WM17_S12_R1_001_val_1.fq.gz Mean	WM17_S12_R2_001_val_2.fq.gz Relative Abundance (%)	WM17_S12_R2_001_val_2.fq.gz Mean	WM18_S13_R1_001_val_1.fq.gz Relative Abundance (%)	WM18_S13_R1_001_val_1.fq.gz Mean	WM18_S13_R2_001_val_2.fq.gz Relative Abundance (%)	WM18_S13_R2_001_val_2.fq.gz Mean	WM19_S14_R1_001_val_1.fq.gz Relative Abundance (%)	WM19_S14_R1_001_val_1.fq.gz Mean	WM19_S14_R2_001_val_2.fq.gz Relative Abundance (%)	WM19_S14_R2_001_val_2.fq.gz Mean	WM20_S15_R1_001_val_1.fq.gz Relative Abundance (%)	WM20_S15_R1_001_val_1.fq.gz Mean	WM20_S15_R2_001_val_2.fq.gz Relative Abundance (%)	WM20_S15_R2_001_val_2.fq.gz Mean	WM21_S16_R1_001_val_1.fq.gz Relative Abundance (%)	WM21_S16_R1_001_val_1.fq.gz Mean	WM21_S16_R2_001_val_2.fq.gz Relative Abundance (%)	WM21_S16_R2_001_val_2.fq.gz Mean	WM22_S17_R1_001_val_1.fq.gz Relative Abundance (%)	WM22_S17_R1_001_val_1.fq.gz Mean	WM22_S17_R2_001_val_2.fq.gz Relative Abundance (%)	WM22_S17_R2_001_val_2.fq.gz Mean	WM23_S18_R1_001_val_1.fq.gz Relative Abundance (%)	WM23_S18_R1_001_val_1.fq.gz Mean	WM23_S18_R2_001_val_2.fq.gz Relative Abundance (%)	WM23_S18_R2_001_val_2.fq.gz Mean	WM24_S19_R1_001_val_1.fq.gz Relative Abundance (%)	WM24_S19_R1_001_val_1.fq.gz Mean	WM24_S19_R2_001_val_2.fq.gz Relative Abundance (%)	WM24_S19_R2_001_val_2.fq.gz Mean
unmapped	43.89795	NA	47.424347	NA	51.2239	NA	55.476654	NA	49.655132	NA	54.401173	NA	47.268772	NA	52.04466	NA	31.593376	NA	35.59139	NA	41.758163	NA	44.205624	NA	33.612465	NA	36.417915	NA	32.619904	NA	35.33358	NA	37.171684	NA	40.44148	NA	29.65715	NA	33.363075	NA	23.756647	NA	30.18368	NA	52.946323	NA	56.646515	NA	33.343834	NA	36.325855	NA	25.728088	NA	29.262484	NA	23.487795	NA	27.97069	NA	46.589874	NA	51.547325	NA	66.52024	NA	68.71473	NA	53.321606	NA	56.6466	NA	52.15794	NA	56.790306	NA
WM12_S7_MAGScoT_cleanbin_000011	0.032440186	1.3789673	0.031761434	1.3425151	0.023721997	1.6478221	0.023614585	1.6223708	0.024721177	1.2686986	0.022552337	1.1500466	0.11123711	5.9798493	0.105327055	5.6381626	0.114942096	6.3480043	0.10768167	5.9517994	0.11997137	5.8940864	0.11486269	5.6566052	0.16886187	11.597169	0.16035588	11.009601	0.08273937	4.2562017	0.0792367	4.070709	0.1893592	9.38962	0.18160668	9.017971	0.14051403	7.357691	0.1323671	6.9500027	0.16530819	11.408415	0.15353724	10.6619425	0.07271468	4.705994	0.06605367	4.285748	0.4235196	23.58847	0.40613124	22.662256	0.27462125	17.328995	0.2570648	16.268377	0.40544188	27.90041	0.3838867	26.461481	0.3345844	18.126448	0.30679223	16.81097	0.075121745	3.8631175	0.071041584	3.657678	0.12855871	5.7303133	0.121179014	5.4066396	0.16035524	6.2949343	0.1483253	5.8447485
WM04_S4_MAGScoT_cleanbin_000050	0	0	0	0	0	0	0	0	0	0	0	0	0.31320462	16.837156	0.3119311	16.697687	0.009736651	0.5377342	0.009738921	0.5382913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WM19_S14_MAGScoT_cleanbin_000012	0	0	0	0	0	0	0	0	0.8712281	44.7117	0.8694394	44.336685	0	0	0	0	0	0	0	0	0.027409576	1.346608	0.02808409	1.383048	0.029507509	2.0265296	0.02972634	2.04093	0	0	0	0	0.011397761	0.5651727	0.012464911	0.61896515	0.031590026	1.6541384	0.032309547	1.6964293	0.02091653	1.4435126	0.02130409	1.4794	0.04009303	2.5947661	0.04028069	2.6135242	0.01754244	0.97704875	0.018026698	1.0058959	0.2362729	14.909158	0.23485729	14.862974	0.33405498	22.987932	0.33187643	22.87639	0.31355438	16.987125	0.3068191	16.812445	0.1493533	7.6804566	0.14882228	7.6623287	0.312293	13.919995	0.31200466	13.9207	0.5330141	20.924097	0.52864814	20.831345
WM21_S16_MAGScoT_cleanbin_000035	0	0	0.013023848	0.5505014	0.0039718477	0.2759	0.012761493	0.876741	0	0	0.0083660865	0.42662492	0.055919394	3.0060973	0.0664034	3.5545774	0.34736413	19.184174	0.34668446	19.162	1.1324188	55.634724	1.120363	55.174156	1.9111778	131.2567	1.8736907	128.64253	0.98069894	50.448204	0.96600103	49.627377	1.9740022	97.883446	1.9480588	96.73399	2.5938115	135.81892	2.5346878	133.08508	2.8741126	198.35115	2.7733548	192.58748	0.5779873	37.406548	0.5663341	36.745346	2.2263641	124.00021	2.1893654	122.16731	3.7928908	239.33684	3.7006757	234.19775	2.5449896	175.133	2.4957538	172.03342	0.7935397	42.990818	0.77470964	42.450947	0.29817975	15.333819	0.29498023	15.18748	0.36843225	16.42232	0.3686449	16.447815	0.29740122	11.674836	0.29995593	11.819744
WM03_S3_MAGScoT_cleanbin_000027	1.5003476	63.77677	1.3666744	57.76758	1.9469095	135.23991	1.8063234	124.098145	2.7727005	142.29587	2.5049376	127.738205	1.4063165	75.60032	1.2699405	67.97998	0.86542314	47.795452	0.7679606	42.44685	0.2656127	13.0493145	0.24896976	12.260933	0.18885596	12.970331	0.17418827	11.959295	0.18391241	9.460652	0.16871849	8.66775	0.1641665	8.140407	0.15346202	7.620403	0.19962539	10.45292	0.18149363	9.529415	0.2253974	15.55535	0.20037492	13.914448	0.006090521	0.3941702	0.007908964	0.51315576	0	0	0	0	0	0	0	0	0	0	0.0043207267	0.29782963	0.0057205786	0.30991814	0.008201836	0.44942734	0.010066601	0.5176725	0.0111696245	0.57508415	0.007529912	0.33563462	0.009604055	0.42850378	0	0	0.008757834	0.34510186
WM17_S12_MAGScoT_cleanbin_000035	0.029783871	1.2660526	0.030412884	1.2855138	0.020298885	1.4100395	0.020961454	1.4400953	0	0	0	0	0.012027572	0.64657444	0.012681473	0.6788399	0.022615138	1.2489853	0.022763956	1.2582132	0.033176977	1.6299553	0.03351787	1.6506438	0.04164146	2.8598702	0.04171965	2.8643582	0.041010965	2.109648	0.04104135	2.1084602	0.03137547	1.5557933	0.031706594	1.5744418	0.007935061	0.4155011	0.008245577	0.43293828	0.005464037	0.3770896	0.006010759	0.41739953	0.23123512	14.96522	0.2262867	14.682115	0.06779329	3.7758346	0.06746844	3.764762	0.0575445	3.6311405	0.05731441	3.62715	0.038353004	2.639255	0.038521722	2.6553195	0.2761751	14.962068	0.268678	14.722467	0.61989033	31.877708	0.61640376	31.736433	0.3850049	17.16102	0.38315922	17.0954	0.24357654	9.561884	0.24016605	9.463727
WM14_S9_MAGScoT_cleanbin_000009	0	0	0	0	0.05497245	3.8186004	0.054281548	3.7292545	0	0	0	0	0.12972671	6.9738073	0.12577392	6.732684	0.01493026	0.8245662	0.0146985985	0.81242335	0.048393253	2.3775172	0.04850224	2.3885741	0.021044696	1.4453168	0.020927023	1.4367927	0.07385123	3.7989862	0.0725797	3.7287123	0.45321572	22.473286	0.4438878	22.041962	0.5927518	31.03807	0.57338744	30.106	0.12077159	8.33481	0.11173852	7.759353	0.5420395	35.08006	0.5004089	32.467934	0.05158559	2.8731258	0.051554363	2.8767507	0.023177363	1.4625248	0.022477085	1.4224651	0.039675195	2.7302413	0.038860794	2.6786919	0.096907444	5.250059	0.09157547	5.017965	0.13032907	6.7021403	0.12621304	6.49826	0.09764699	4.352469	0.09511186	4.2436023	0.20632376	8.099483	0.19408327	7.647839
WM20_S15_MAGScoT_cleanbin_000040	0.17529686	7.451518	0.17483605	7.3900967	0.2987058	20.749268	0.29401287	20.199293	0.09583968	4.9185224	0.094930686	4.8409486	0.13389304	7.1977797	0.13385436	7.165231	0.14052853	7.761088	0.13575643	7.5035524	0.13621944	6.6923404	0.13495338	6.6460056	0.1506081	10.34353	0.14843743	10.191312	0.10711434	5.510076	0.10467509	5.3775826	0.16448802	8.15635	0.16367573	8.127582	0.2719278	14.238868	0.26439813	13.8823595	0.34611684	23.886564	0.33361638	23.16701	0.94303477	61.031918	0.8881961	57.62865	1.2063389	67.1886	1.1758293	65.611664	1.2414129	78.33493	1.1924988	75.46744	1.3037095	89.71453	1.2653127	87.218575	0.8957043	48.525684	0.85041493	46.59929	0.765396	39.360302	0.7325619	37.717	0.9660632	43.06083	0.92944455	41.468994	0.8552298	33.573055	0.8109393	31.955008
WM22_S17_MAGScoT_cleanbin_000001	0.033721197	1.4334204	0.03522401	1.4888737	0.011384278	0.7907962	0.013476782	0.92588276	0	0	0	0	0.37821802	20.332127	0.3781915	20.24461	0.23873146	13.184624	0.2376224	13.133905	0.21665864	10.644246	0.21675335	10.674382	0.1864062	12.802086	0.1865196	12.805931	0.7561356	38.896423	0.7522974	38.648556	0.47752047	23.678467	0.47741604	23.706861	0.73016137	38.233208	0.7230509	37.964157	0.411405	28.392294	0.40588233	28.185307	0.2730519	17.671543	0.2700351	17.520634	0.28762305	16.019535	0.28442413	15.87096	0.07541133	4.758563	0.07576032	4.7945013	0.18833314	12.960111	0.18806599	12.963472	0.18246996	9.885495	0.18044971	9.887913	0.11506248	5.9170604	0.11471367	5.906198	0.20563039	9.1656685	0.20583671	9.183809	0.19626589	7.704649	0.19600026	7.7233768
