Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
WM01_S1_MAGScoT_cleanbin_000001	100.0	0.56	Gradient Boost (General Model)	11	0.916	290201	377.2755125547109	5356496	0.39	4341	38	520123	None
WM01_S1_MAGScoT_cleanbin_000002	100.0	1.1	Gradient Boost (General Model)	11	0.908	205634	377.24140140995513	5827069	0.43	4681	48	789909	None
WM01_S1_MAGScoT_cleanbin_000003	98.22	0.51	Gradient Boost (General Model)	11	0.939	85945	307.3485401459854	3218925	0.69	3288	66	280635	None
WM01_S1_MAGScoT_cleanbin_000004	100.0	2.01	Neural Network (Specific Model)	11	0.861	20513	326.0708401976936	3439767	0.46	3035	262	86989	None
WM01_S1_MAGScoT_cleanbin_000005	100.0	1.56	Gradient Boost (General Model)	11	0.919	381790	330.8848003345181	5158814	0.43	4783	29	787867	None
WM01_S1_MAGScoT_cleanbin_000006	100.0	2.5	Gradient Boost (General Model)	11	0.89	201779	317.1429329559526	6037091	0.37	5653	83	509393	None
WM01_S1_MAGScoT_cleanbin_000007	99.5	4.77	Gradient Boost (General Model)	11	0.906	255810	344.55494155154094	5360650	0.41	4705	42	644554	None
WM01_S1_MAGScoT_cleanbin_000008	95.97	2.08	Gradient Boost (General Model)	11	0.944	26278	336.57456772334297	2964364	0.37	2776	197	114029	None
WM01_S1_MAGScoT_cleanbin_000009	97.74	3.16	Gradient Boost (General Model)	11	0.9	18499	295.83902667290596	4205519	0.71	4274	316	78938	None
WM01_S1_MAGScoT_cleanbin_000010	99.92	1.32	Neural Network (Specific Model)	11	0.91	28026	309.0835683158165	3967345	0.64	3901	226	82807	None
WM01_S1_MAGScoT_cleanbin_000011	98.62	5.42	Gradient Boost (General Model)	11	0.892	74212	336.6764534883721	3889338	0.45	3440	92	146008	None
WM01_S1_MAGScoT_cleanbin_000012	94.16	0.8	Gradient Boost (General Model)	11	0.903	47738	338.1524470899471	3394707	0.38	3024	106	138610	None
WM01_S1_MAGScoT_cleanbin_000013	96.87	2.43	Gradient Boost (General Model)	11	0.935	51466	305.67116907312527	4196255	0.39	4294	155	129807	None
WM01_S1_MAGScoT_cleanbin_000014	94.35	4.44	Gradient Boost (General Model)	11	0.915	8361	315.5826699326393	3375483	0.34	3266	468	35801	None
WM01_S1_MAGScoT_cleanbin_000015	94.9	3.56	Neural Network (Specific Model)	11	0.934	19923	310.56036217303824	3954433	0.39	3976	287	82714	None
WM01_S1_MAGScoT_cleanbin_000016	92.85	2.3	Gradient Boost (General Model)	11	0.932	10328	293.41303685653367	3092336	0.66	3283	378	44417	None
WM01_S1_MAGScoT_cleanbin_000017	96.76	3.57	Gradient Boost (General Model)	11	0.925	10295	302.09519343493554	4173592	0.69	4265	499	47497	None
WM01_S1_MAGScoT_cleanbin_000018	99.15	3.69	Neural Network (Specific Model)	11	0.892	716400	358.33963766673304	6049219	0.41	5023	60	1257537	None
WM01_S1_MAGScoT_cleanbin_000019	99.92	0.92	Neural Network (Specific Model)	11	0.881	92518	378.7835782195333	7450734	0.61	5785	152	281218	None
WM01_S1_MAGScoT_cleanbin_000020	92.28	3.93	Gradient Boost (General Model)	11	0.911	11583	284.1256983240223	6353606	0.65	6802	715	45241	None
WM01_S1_MAGScoT_cleanbin_000021	95.11	1.06	Gradient Boost (General Model)	11	0.944	8760	299.71140939597313	3397378	0.67	3576	469	38980	None
