#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2023 12 31 23 10 338  6.1 999 99.0 9999
2023 12 31 23 20 341  5.3 999 99.0 9999
2023 12 31 23 30 341  4.4 999 99.0 9999
2023 12 31 23 40 330  3.6 999 99.0 9999
2023 12 31 23 50 349  5.3 999 99.0 9999
2024 01 01 00 00 352  4.5 332  8.0 2304
2024 01 01 00 10 337  4.0 999 99.0 9999
2024 01 01 00 20 329  3.0 999 99.0 9999
2024 01 01 00 30 345  4.2 999 99.0 9999
2024 01 01 00 40   1  4.6 999 99.0 9999
2024 01 01 00 50 352  3.7 999 99.0 9999
2024 01 01 01 00 341  4.5 344  6.8 0026
2024 01 01 01 10   3  3.8 999 99.0 9999
2024 01 01 01 20 347  3.9 999 99.0 9999
2024 01 01 01 30 348  3.6 999 99.0 9999
2024 01 01 01 40 356  4.0 999 99.0 9999
2024 01 01 01 50  10  4.3 999 99.0 9999
2024 01 01 02 00 359  4.1   9  6.3 0151
2024 01 01 02 10   9  2.5 999 99.0 9999
2024 01 01 02 20 347  3.3 999 99.0 9999
2024 01 01 02 30 318  3.3 999 99.0 9999
2024 01 01 02 40 330  3.4 999 99.0 9999
2024 01 01 02 50 337  4.0 999 99.0 9999
2024 01 01 03 00 331  3.3 339  6.1 0245
2024 01 01 03 10 332  2.8 999 99.0 9999
2024 01 01 03 20 344  3.8 999 99.0 9999
2024 01 01 03 30 338  3.7 999 99.0 9999
2024 01 01 03 40 308  3.0 999 99.0 9999
2024 01 01 03 50 286  2.7 999 99.0 9999
2024 01 01 04 00 300  2.8 330  5.5 0308
2024 01 01 04 10 294  2.8 999 99.0 9999
2024 01 01 04 20 277  2.1 999 99.0 9999
2024 01 01 04 30 295  1.6 999 99.0 9999
2024 01 01 04 40 303  1.8 999 99.0 9999
2024 01 01 04 50 332  2.7 999 99.0 9999
2024 01 01 05 00 326  3.6 332  5.0 0449
2024 01 01 05 10 310  3.7 999 99.0 9999
2024 01 01 05 20 307  3.1 999 99.0 9999
2024 01 01 05 30 302  2.2 999 99.0 9999
2024 01 01 05 40 300  3.5 999 99.0 9999
2024 01 01 05 50 309  3.7 999 99.0 9999
2024 01 01 06 00 297  3.7 298  5.5 0550
2024 01 01 06 10 299  3.9 999 99.0 9999
2024 01 01 06 20 286  3.6 999 99.0 9999
