clade_name	TrimGalore/WM01_S1_R1_001_val_1.fq.gz	TrimGalore/WM02_S2_R1_001_val_1.fq.gz	TrimGalore/WM03_S3_R1_001_val_1.fq.gz	TrimGalore/WM04_S4_R1_001_val_1.fq.gz	TrimGalore/WM05_S5_R1_001_val_1.fq.gz	TrimGalore/WM11_S6_R1_001_val_1.fq.gz	TrimGalore/WM12_S7_R1_001_val_1.fq.gz	TrimGalore/WM13_S8_R1_001_val_1.fq.gz	TrimGalore/WM14_S9_R1_001_val_1.fq.gz	TrimGalore/WM15_S10_R1_001_val_1.fq.gz	TrimGalore/WM16_S11_R1_001_val_1.fq.gz	TrimGalore/WM17_S12_R1_001_val_1.fq.gz	TrimGalore/WM18_S13_R1_001_val_1.fq.gz	TrimGalore/WM19_S14_R1_001_val_1.fq.gz	TrimGalore/WM20_S15_R1_001_val_1.fq.gz	TrimGalore/WM21_S16_R1_001_val_1.fq.gz	TrimGalore/WM22_S17_R1_001_val_1.fq.gz	TrimGalore/WM23_S18_R1_001_val_1.fq.gz	TrimGalore/WM24_S19_R1_001_val_1.fq.gz
d__Archaea	0.0747	0.1687	0.0552	0.4908	0.2368	1.6329	2.8172	2.0967	2.3469	1.8388	1.5644	0.0	0.0	0.0	0.0131	0.0728999999999999	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota	0.0747	0.1687	0.0552	0.4908	0.2368	1.6329	2.8172	2.0967	2.3469	1.8388	1.5644	0.0	0.0	0.0	0.0131	0.0728999999999999	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria	0.0747	0.1687	0.0552	0.4908	0.2368	1.6329	2.8172	2.0967	2.3469	1.8388	1.5644	0.0	0.0	0.0	0.0131	0.0728999999999999	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	0.0747	0.1687	0.0552	0.4908	0.2368	1.6329	2.8172	2.0967	2.3469	1.8388	1.5644	0.0	0.0	0.0	0.0131	0.0728999999999999	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	0.0747	0.1687	0.0552	0.4908	0.2368	1.6329	2.8172	2.0967	2.3469	1.8388	1.5644	0.0	0.0	0.0	0.0131	0.0728999999999999	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1|s__CSP1-1 sp001443365	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1|s__CSP1-1 sp001443365|t__GCA_001443365.1	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368	0.0	0.0298	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum	0.0747	0.1687	0.0358	0.4388	0.2368	1.5829	2.6786	1.9865	2.2581	1.7672	1.5034	0.0	0.0	0.0	0.0131	0.0361	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp002737445	0.0747	0.1687	0.0358	0.4388	0.2368	1.524	2.6151	1.9307	2.2581	1.7672	1.5034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp002737445|t__GCA_002737445.1	0.0747	0.1687	0.0358	0.4388	0.2368	1.524	2.6151	1.9307	2.2581	1.7672	1.5034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp003569705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp003569705|t__GCA_003569705.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp938049695	0.0	0.0	0.0	0.0	0.0	0.0589	0.0635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0131	0.0361	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosarchaeum|s__Nitrosarchaeum sp938049695|t__GCA_938049695.1	0.0	0.0	0.0	0.0	0.0	0.0589	0.0635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0131	0.0361	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosopumilus	0.0	0.0	0.0194	0.052	0.0	0.05	0.1056	0.076	0.0888	0.0716	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus limneticus	0.0	0.0	0.0194	0.052	0.0	0.05	0.1056	0.076	0.0888	0.0716	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus limneticus|t__GCA_022117465.1	0.0	0.0	0.0194	0.052	0.0	0.05	0.1056	0.076	0.0888	0.0716	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria	99.92530000000006	99.8314	99.94549999999998	99.50909999999996	99.7625	98.36680000000004	97.18309999999992	97.90310000000014	97.65289999999996	98.1611	98.4352000000001	99.9999	100.0	100.0001	99.98700000000008	99.92690000000002	99.9999	99.96999999999996	100.0
d__Bacteria|p__Acidobacteriota	0.0	0.0	0.0872	0.0	0.0729	0.1159	0.1426	0.2544	0.1642	0.1115	0.1021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__UBA12189	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__UBA12189|s__UBA12189 sp014189895	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__UBA12189|s__UBA12189 sp014189895|t__GCA_014189895.1	0.0	0.0	0.0297	0.0	0.0	0.0	0.0653	0.1127	0.0598	0.0729	0.0407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
