ID,d,p,c,o,f,g,s,t,notes
1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,CSP1-1,CSP1-1 sp001443365,GCA_001443365.1,
2,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp002737445,GCA_002737445.1,
3,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp003569705,GCA_003569705.1,
4,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum sp938049695,GCA_938049695.1,
5,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus limneticus,GCA_022117465.1,
6,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,UBA12189,UBA12189 sp014189895,GCA_014189895.1,
7,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Ga0077553,Ga0077553 sp026394015,GCA_026394015.1,
8,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Ga0077553,Ga0077553 sp947505565,GCA_947505565.1,
9,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-187,Palsa-187 sp945861625,GCA_945861625.1,
10,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,12-FULL-67-14b,12-FULL-67-14b sp002737365,GCA_002737365.1,
11,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,CAIXPF01,CAIXPF01,CAIXPF01 sp947476745,GCA_947476745.1,
12,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,BACL27 sp016462185,GCA_016462185.1,
13,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,BACL27 sp016463105,GCA_016463105.1,
14,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,BACL27 sp945861325,GCA_945861325.1,
15,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,BACL27 sp945862025,GCA_945862025.1,
16,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,BACL27 sp945885515,GCA_945885515.1,
17,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,Casp-actino8 sp009694465,GCA_009694465.1,
18,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,Casp-actino8 sp945862545,GCA_945862545.1,
19,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,Casp-actino8 sp945896935,GCA_945896935.1,
20,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,F1-20-MAGs119,F1-20-MAGs119 sp013205145,GCA_013205145.1,
21,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,F1-60-MAGs027,F1-60-MAGs027 sp016463775,GCA_016463775.1,
22,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,UBA2093 sp016463545,GCA_016463545.1,
23,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,UBA3006 sp027592925,GCA_027592925.1,
24,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,UBA3006 sp903895515,GCA_903895515.1,
25,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,VFMC01,VFMC01 sp026393475,GCA_026393475.1,
26,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,WLJO01,WLJO01 sp945889085,GCA_945889085.1,
27,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,WLMZ01,WLMZ01 sp945861025,GCA_945861025.1,
28,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JACDCH01,VFJN01,VFJN01 sp009886035,GCA_009886035.1,
29,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,IMCC26207,IMCC26207 sp945888825,GCA_945888825.1,
30,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,F1-20-MAGs160 sp016462055,GCA_016462055.1,
31,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,WLNW01,WLNW01,WLNW01 sp009699605,GCA_009699605.1,
32,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,IMCC26256 sp943328625,GCA_943328625.2,
33,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,IMCC26256 sp945907055,GCA_945907055.1,
34,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,SHUY01 sp009694435,GCA_009694435.1,
35,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Pedococcus,Pedococcus sp001426245,GCF_001426245.1,
36,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Herbiconiux,Herbiconiux sp023264855,GCF_023264855.1,
37,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,MWH-TA3,MWH-TA3 sp016463265,GCA_016463265.1,
38,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium maritypicum,GCA_008868125.1,
39,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium oxydans,GCF_006540085.1,
40,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium sp000411455,GCF_000411455.1,
41,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium sp001897105,GCF_017306415.1,
42,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium sp002456035,GCF_904066215.1,
43,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium sp005774735,GCF_005774735.1,
44,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Rhodoglobus sp020160915,GCA_020160915.1,
45,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Rhodoglobus sp903920435,GCA_903920435.1,
46,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoluna,Rhodoluna sp016462375,GCA_016462375.1,
47,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter nicotinovorans,GCF_021919345.1,
