sample,day,month,year,date,strat_season
WM01,18,08,2024,8/18/2024,summer
WM02,01,09,2024,9/1/2024,summer
WM03,15,09,2024,9/15/2024,summer
WM04,29,09,2024,9/29/2024,summer
WM05,13,10,2024,10/13/2024,summer
WM06,27,10,2024,10/27/2024,summer
WM07,10,11,2024,11/10/2024,summer
WM08,24,11,2024,11/24/2024,summer
WM09,08,12,2024,12/8/2024,summer
WM10,22,12,2024,12/22/2024,fall
WM11,05,01,2025,1/5/2025,fall
WM12,19,01,2025,1/19/2025,fall
WM13,02,02,2025,2/2/2025,winter
WM14,16,02,2025,2/16/2025,winter
WM15,02,03,2025,3/2/2025,winter
WM16,16,03,2025,3/16/2025,winter
WM17,30,03,2025,3/30/2025,winter
WM18,13,04,2025,4/13/2025,winter
WM19,27,04,2025,4/27/2025,winter
WM20,11,05,2025,5/11/2025,winter
WM21,25,05,2025,5/25/2025,spring
WM22,08,06,2025,6/8/2025,spring
WM23,22,06,2025,6/22/2025,spring
WM24,06,07,2025,7/6/2025,spring
