k	p	c	o	f	g	s	otu
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium stygium	o__OTU1
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU10
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__unknown	s__unknown	o__OTU100
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unknown	o__OTU1001
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1003
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__unknown	g__unknown	s__unknown	o__OTU1004
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__unknown	g__unknown	s__unknown	o__OTU1006
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__unknown	s__unknown	o__OTU1007
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__unknown	o__OTU1008
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1009
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__unknown	s__unknown	o__OTU101
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU1011
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__SH3-11	s__unknown	o__OTU1014
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Geodermatophilaceae	g__Klenkia	s__unknown	o__OTU1018
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__SM1A02	s__unknown	o__OTU1021
k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium	s__Cetobacterium somerae	o__OTU1023
k__Bacteria	p__unknown	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1024
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unknown	o__OTU1025
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU1029
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU103
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unknown	o__OTU1032
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Simkaniaceae	g__unknown	s__unknown	o__OTU1036
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__KD3-93	g__unknown	s__unknown	o__OTU1037
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__unknown	g__unknown	s__unknown	o__OTU1039
k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus Peregrinibacteria	f__unknown	g__unknown	s__unknown	o__OTU1040
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU1041
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__unknown	o__OTU1043
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1045
