bin	id
WM11_S6_019	K00003
WM11_S6_019	K00012
WM11_S6_019	K00013
WM11_S6_019	K00014
WM11_S6_019	K00019
WM11_S6_019	K00021
WM11_S6_019	K00023
WM11_S6_019	K00024
WM11_S6_019	K00027
WM11_S6_019	K00029
WM11_S6_019	K00031
WM11_S6_019	K00034
WM11_S6_019	K00057
WM11_S6_019	K00058
WM11_S6_019	K00059
WM11_S6_019	K00067
WM11_S6_019	K00074
WM11_S6_019	K00075
WM11_S6_019	K00088
WM11_S6_019	K00091
WM11_S6_019	K00097
WM11_S6_019	K00099
WM11_S6_019	K00104
WM11_S6_019	K00116
WM11_S6_019	K00128
WM11_S6_019	K00133
WM11_S6_019	K00134
WM11_S6_019	K00146
WM11_S6_019	K00161
WM11_S6_019	K00162
WM11_S6_019	K00164
WM11_S6_019	K00185
WM11_S6_019	K00208
WM11_S6_019	K00215
WM11_S6_019	K00228
WM11_S6_019	K00239
WM11_S6_019	K00240
WM11_S6_019	K00241
WM11_S6_019	K00243
WM11_S6_019	K00248
WM11_S6_019	K00252
WM11_S6_019	K00259
WM11_S6_019	K00260
WM11_S6_019	K00263
WM11_S6_019	K00275
WM11_S6_019	K00278
WM11_S6_019	K00281
WM11_S6_019	K00286
WM11_S6_019	K00287
WM11_S6_019	K00293
WM11_S6_019	K00294
WM11_S6_019	K00297
WM11_S6_019	K00318
WM11_S6_019	K00323
WM11_S6_019	K00324
WM11_S6_019	K00325
WM11_S6_019	K00331
WM11_S6_019	K00332
WM11_S6_019	K00333
WM11_S6_019	K00335
WM11_S6_019	K00336
WM11_S6_019	K00337
WM11_S6_019	K00338
WM11_S6_019	K00341
WM11_S6_019	K00342
WM11_S6_019	K00343
WM11_S6_019	K00344
WM11_S6_019	K00355
WM11_S6_019	K00382
WM11_S6_019	K00384
WM11_S6_019	K00390
WM11_S6_019	K00392
WM11_S6_019	K00428
WM11_S6_019	K00432
WM11_S6_019	K00451
WM11_S6_019	K00452
WM11_S6_019	K00457
WM11_S6_019	K00472
WM11_S6_019	K00486
WM11_S6_019	K00500
WM11_S6_019	K00508
WM11_S6_019	K00548
WM11_S6_019	K00554
WM11_S6_019	K00556
WM11_S6_019	K00560
WM11_S6_019	K00566
WM11_S6_019	K00567
WM11_S6_019	K00568
WM11_S6_019	K00570
WM11_S6_019	K00573
WM11_S6_019	K00574
WM11_S6_019	K00575
WM11_S6_019	K00587
WM11_S6_019	K00588
WM11_S6_019	K00600
WM11_S6_019	K00602
WM11_S6_019	K00604
WM11_S6_019	K00605
WM11_S6_019	K00606
WM11_S6_019	K00609
WM11_S6_019	K00615
WM11_S6_019	K00616
WM11_S6_019	K00626
WM11_S6_019	K00627
WM11_S6_019	K00639
WM11_S6_019	K00641
WM11_S6_019	K00645
WM11_S6_019	K00648
WM11_S6_019	K00652
WM11_S6_019	K00655
WM11_S6_019	K00658
WM11_S6_019	K00661
WM11_S6_019	K00666
WM11_S6_019	K00674
WM11_S6_019	K00677
WM11_S6_019	K00703
WM11_S6_019	K00721
WM11_S6_019	K00748
WM11_S6_019	K00754
WM11_S6_019	K00757
WM11_S6_019	K00759
WM11_S6_019	K00761
WM11_S6_019	K00762
WM11_S6_019	K00764
WM11_S6_019	K00765
WM11_S6_019	K00767
WM11_S6_019	K00773
WM11_S6_019	K00784
WM11_S6_019	K00789
WM11_S6_019	K00790
WM11_S6_019	K00791
WM11_S6_019	K00793
WM11_S6_019	K00796
WM11_S6_019	K00797
WM11_S6_019	K00798
WM11_S6_019	K00800
WM11_S6_019	K00806
WM11_S6_019	K00809
WM11_S6_019	K00812
WM11_S6_019	K00817
WM11_S6_019	K00819
WM11_S6_019	K00820
WM11_S6_019	K00826
