bin	id
both_bins	K00275
both_bins	K00410
both_bins	K00940
both_bins	K01159
both_bins	K01489
both_bins	K01520
both_bins	K01633
both_bins	K01737
both_bins	K01849
both_bins	K01890
both_bins	K02160
both_bins	K02197
both_bins	K02256
both_bins	K02262
both_bins	K02277
both_bins	K02426
both_bins	K02503
both_bins	K02834
both_bins	K02864
both_bins	K02879
both_bins	K02881
both_bins	K02884
both_bins	K02935
both_bins	K02948
both_bins	K02996
both_bins	K03210
both_bins	K03530
both_bins	K03558
both_bins	K03584
both_bins	K03589
both_bins	K03881
both_bins	K03883
both_bins	K03892
both_bins	K03935
both_bins	K03936
both_bins	K04757
both_bins	K06024
both_bins	K06194
both_bins	K07040
both_bins	K07171
both_bins	K07341
both_bins	K07460
both_bins	K07495
both_bins	K08843
both_bins	K08972
both_bins	K08998
both_bins	K09022
both_bins	K09778
both_bins	K13694
both_bins	K13993
both_bins	K15518
both_bins	K18682
both_bins	K21454
both_bins	K21562
both_bins	K21737
both_bins	K22450
both_bins	K23683
both_bins	K24129
both_bins	K00330
both_bins	K00783
both_bins	K02078
both_bins	K02435
both_bins	K02518
both_bins	K02520
both_bins	K02610
both_bins	K02902
both_bins	K02946
both_bins	K02950
both_bins	K02954
both_bins	K02956
both_bins	K02961
both_bins	K02965
both_bins	K03075
both_bins	K03271
both_bins	K03550
both_bins	K03581
both_bins	K03711
both_bins	K03741
both_bins	K03798
both_bins	K03925
both_bins	K04078
both_bins	K05606
both_bins	K05808
both_bins	K06199
both_bins	K06218
both_bins	K06975
both_bins	K07042
both_bins	K07075
both_bins	K07334
both_bins	K09153
both_bins	K10718
both_bins	K10742
both_bins	K10947
both_bins	K11618
both_bins	K13509
both_bins	K13628
both_bins	K13730
both_bins	K16559
both_bins	K16568
both_bins	K16629
both_bins	K17745
both_bins	K21420
both_bins	K22042
both_bins	K23264
both_bins	K23998
