bin	id	season
WM14_S9_032	K00355	winter
WM14_S9_032	K00560	winter
WM14_S9_032	K00567	winter
WM14_S9_032	K00567	winter
WM14_S9_032	K00568	winter
WM14_S9_032	K00568	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00640	winter
WM14_S9_032	K00729	winter
WM14_S9_032	K00729	winter
WM14_S9_032	K00799	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00928	winter
WM14_S9_032	K00940	winter
WM14_S9_032	K00940	winter
WM14_S9_032	K00945	winter
WM14_S9_032	K01178	winter
WM14_S9_032	K01178	winter
WM14_S9_032	K01493	winter
WM14_S9_032	K01519	winter
WM14_S9_032	K01519	winter
WM14_S9_032	K01520	winter
WM14_S9_032	K01581	winter
WM14_S9_032	K01589	winter
WM14_S9_032	K01624	winter
WM14_S9_032	K01624	winter
WM14_S9_032	K01624	winter
WM14_S9_032	K01624	winter
WM14_S9_032	K01624	winter
WM14_S9_032	K01648	winter
WM14_S9_032	K01649	winter
WM14_S9_032	K01750	winter
WM14_S9_032	K01808	winter
WM14_S9_032	K01808	winter
WM14_S9_032	K01808	winter
WM14_S9_032	K01808	winter
WM14_S9_032	K01840	winter
WM14_S9_032	K01840	winter
WM14_S9_032	K02003	winter
WM14_S9_032	K02257	winter
WM14_S9_032	K02257	winter
WM14_S9_032	K03183	winter
WM14_S9_032	K03183	winter
WM14_S9_032	K03772	winter
WM14_S9_032	K03820	winter
WM14_S9_032	K03820	winter
WM14_S9_032	K03928	winter
WM14_S9_032	K05343	winter
WM14_S9_032	K05343	winter
WM14_S9_032	K05712	winter
WM14_S9_032	K05712	winter
WM14_S9_032	K05712	winter
WM14_S9_032	K05712	winter
WM14_S9_032	K05825	winter
WM14_S9_032	K05825	winter
WM14_S9_032	K05825	winter
WM14_S9_032	K05873	winter
WM14_S9_032	K06607	winter
WM14_S9_032	K06607	winter
WM14_S9_032	K06607	winter
WM14_S9_032	K06607	winter
WM14_S9_032	K06607	winter
WM14_S9_032	K06857	winter
WM14_S9_032	K07260	winter
WM14_S9_032	K07260	winter
WM14_S9_032	K07405	winter
WM14_S9_032	K07405	winter
WM14_S9_032	K07648	winter
WM14_S9_032	K07648	winter
WM14_S9_032	K07648	winter
WM14_S9_032	K07679	winter
WM14_S9_032	K07679	winter
WM14_S9_032	K07679	winter
WM14_S9_032	K08256	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09667	winter
WM14_S9_032	K09694	winter
WM14_S9_032	K09808	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10211	winter
WM14_S9_032	K10710	winter
WM14_S9_032	K10710	winter
WM14_S9_032	K11608	winter
WM14_S9_032	K11608	winter
WM14_S9_032	K12267	winter
WM14_S9_032	K12267	winter
WM14_S9_032	K12267	winter
WM14_S9_032	K12267	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12583	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K12984	winter
WM14_S9_032	K13800	winter
WM14_S9_032	K16161	winter
WM15_S10_035	K00355	winter
WM15_S10_035	K00560	winter
WM15_S10_035	K00567	winter
WM15_S10_035	K00567	winter
WM15_S10_035	K00568	winter
WM15_S10_035	K00568	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00640	winter
WM15_S10_035	K00729	winter
WM15_S10_035	K00729	winter
WM15_S10_035	K00799	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00928	winter
WM15_S10_035	K00940	winter
WM15_S10_035	K00940	winter
WM15_S10_035	K00945	winter
WM15_S10_035	K01178	winter
WM15_S10_035	K01178	winter
WM15_S10_035	K01493	winter
WM15_S10_035	K01519	winter
WM15_S10_035	K01519	winter
WM15_S10_035	K01520	winter
WM15_S10_035	K01581	winter
WM15_S10_035	K01588	winter
WM15_S10_035	K01589	winter
WM15_S10_035	K01624	winter
WM15_S10_035	K01624	winter
WM15_S10_035	K01624	winter
WM15_S10_035	K01624	winter
WM15_S10_035	K01624	winter
WM15_S10_035	K01648	winter
WM15_S10_035	K01649	winter
WM15_S10_035	K01750	winter
WM15_S10_035	K01808	winter
WM15_S10_035	K01808	winter
WM15_S10_035	K01808	winter
WM15_S10_035	K01808	winter
WM15_S10_035	K01840	winter
WM15_S10_035	K01840	winter
WM15_S10_035	K01923	winter
WM15_S10_035	K02003	winter
WM15_S10_035	K02257	winter
WM15_S10_035	K02257	winter
WM15_S10_035	K03183	winter
WM15_S10_035	K03183	winter
WM15_S10_035	K03772	winter
WM15_S10_035	K03820	winter
WM15_S10_035	K03820	winter
WM15_S10_035	K03928	winter
WM15_S10_035	K05343	winter
WM15_S10_035	K05343	winter
WM15_S10_035	K05712	winter
WM15_S10_035	K05712	winter
WM15_S10_035	K05712	winter
WM15_S10_035	K05712	winter
WM15_S10_035	K05825	winter
WM15_S10_035	K05825	winter
WM15_S10_035	K05825	winter
WM15_S10_035	K05873	winter
WM15_S10_035	K06607	winter
WM15_S10_035	K06607	winter
WM15_S10_035	K06607	winter
WM15_S10_035	K06607	winter
WM15_S10_035	K06607	winter
WM15_S10_035	K06857	winter
WM15_S10_035	K07260	winter
WM15_S10_035	K07260	winter
WM15_S10_035	K07405	winter
WM15_S10_035	K07405	winter
WM15_S10_035	K07648	winter
WM15_S10_035	K07648	winter
WM15_S10_035	K07648	winter
WM15_S10_035	K07679	winter
WM15_S10_035	K07679	winter
WM15_S10_035	K07679	winter
WM15_S10_035	K08256	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09667	winter
WM15_S10_035	K09694	winter
WM15_S10_035	K09808	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10211	winter
WM15_S10_035	K10710	winter
WM15_S10_035	K10710	winter
WM15_S10_035	K11608	winter
WM15_S10_035	K11608	winter
WM15_S10_035	K12267	winter
WM15_S10_035	K12267	winter
WM15_S10_035	K12267	winter
WM15_S10_035	K12267	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12583	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K12984	winter
WM15_S10_035	K13800	winter
WM15_S10_035	K13998	winter
WM15_S10_035	K16161	winter
