bin	name	count
WM01_S1_002	01_Fermentation	304
WM01_S1_002	21_Cellular response to stress	555
WM01_S1_002	06_Amino acid utilization biosynthesis metabolism	568
WM01_S1_002	20_Hydrolysis of polymers	119
WM01_S1_002	05_Fatty acid oxidation	56
WM01_S1_002	08_Hydrocarbon degradation	28
WM01_S1_002	10_TCA cycle	28
WM01_S1_002	15_Methylotrophy	13
WM01_S1_002	19_Saccharide and derivated synthesis	311
WM01_S1_002	07_Nucleic acid metabolism	115
WM01_S1_002	02_Homoacetogenesis	70
WM01_S1_002	16_Embden Meyerhof-Parnos (EMP)	24
WM01_S1_002	17_Gluconeogenesis	13
WM01_S1_002	11_Nitrogen cycle	16
WM01_S1_002	14_Methanogenesis	16
WM01_S1_002	13_Hydrogen metabolism	2
WM01_S1_002	18_Sulfur compounds metabolism	37
WM01_S1_002	09_Carbohydrate Active enzyme - CAZy	62
WM01_S1_002	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	15
WM01_S1_002	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	4
WM01_S1_002	12_Transporters	89
WM01_S1_004	01_Fermentation	258
WM01_S1_004	21_Cellular response to stress	236
WM01_S1_004	20_Hydrolysis of polymers	43
WM01_S1_004	06_Amino acid utilization biosynthesis metabolism	420
WM01_S1_004	08_Hydrocarbon degradation	19
WM01_S1_004	10_TCA cycle	25
WM01_S1_004	19_Saccharide and derivated synthesis	137
WM01_S1_004	07_Nucleic acid metabolism	108
WM01_S1_004	15_Methylotrophy	7
WM01_S1_004	02_Homoacetogenesis	36
WM01_S1_004	16_Embden Meyerhof-Parnos (EMP)	25
WM01_S1_004	17_Gluconeogenesis	9
WM01_S1_004	05_Fatty acid oxidation	33
WM01_S1_004	11_Nitrogen cycle	8
WM01_S1_004	13_Hydrogen metabolism	3
WM01_S1_004	09_Carbohydrate Active enzyme - CAZy	33
WM01_S1_004	18_Sulfur compounds metabolism	18
WM01_S1_004	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	6
WM01_S1_004	14_Methanogenesis	5
WM01_S1_004	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	4
WM01_S1_004	12_Transporters	102
WM01_S1_006	01_Fermentation	225
WM01_S1_006	21_Cellular response to stress	511
WM01_S1_006	06_Amino acid utilization biosynthesis metabolism	468
WM01_S1_006	20_Hydrolysis of polymers	92
WM01_S1_006	05_Fatty acid oxidation	37
WM01_S1_006	08_Hydrocarbon degradation	18
WM01_S1_006	10_TCA cycle	30
WM01_S1_006	15_Methylotrophy	11
WM01_S1_006	19_Saccharide and derivated synthesis	300
WM01_S1_006	07_Nucleic acid metabolism	161
WM01_S1_006	14_Methanogenesis	9
WM01_S1_006	02_Homoacetogenesis	46
WM01_S1_006	16_Embden Meyerhof-Parnos (EMP)	24
WM01_S1_006	17_Gluconeogenesis	15
WM01_S1_006	11_Nitrogen cycle	9
WM01_S1_006	09_Carbohydrate Active enzyme - CAZy	39
WM01_S1_006	18_Sulfur compounds metabolism	33
WM01_S1_006	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	13
WM01_S1_006	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	7
WM01_S1_006	12_Transporters	64
WM01_S1_006	13_Hydrogen metabolism	1
WM01_S1_007	06_Amino acid utilization biosynthesis metabolism	542
WM01_S1_007	01_Fermentation	319
WM01_S1_007	21_Cellular response to stress	532
WM01_S1_007	20_Hydrolysis of polymers	156
WM01_S1_007	05_Fatty acid oxidation	33
WM01_S1_007	08_Hydrocarbon degradation	21
WM01_S1_007	10_TCA cycle	31
WM01_S1_007	15_Methylotrophy	19
WM01_S1_007	19_Saccharide and derivated synthesis	300
WM01_S1_007	07_Nucleic acid metabolism	120
WM01_S1_007	14_Methanogenesis	3
WM01_S1_007	02_Homoacetogenesis	70
WM01_S1_007	16_Embden Meyerhof-Parnos (EMP)	37
WM01_S1_007	17_Gluconeogenesis	15
WM01_S1_007	11_Nitrogen cycle	20
WM01_S1_007	09_Carbohydrate Active enzyme - CAZy	86
WM01_S1_007	18_Sulfur compounds metabolism	21
WM01_S1_007	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	17
WM01_S1_007	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	5
WM01_S1_007	12_Transporters	91
WM01_S1_007	13_Hydrogen metabolism	4
WM01_S1_012	06_Amino acid utilization biosynthesis metabolism	458
WM01_S1_012	21_Cellular response to stress	281
WM01_S1_012	20_Hydrolysis of polymers	98
WM01_S1_012	01_Fermentation	226
WM01_S1_012	05_Fatty acid oxidation	30
WM01_S1_012	08_Hydrocarbon degradation	21
WM01_S1_012	10_TCA cycle	33
WM01_S1_012	15_Methylotrophy	15
WM01_S1_012	19_Saccharide and derivated synthesis	230
WM01_S1_012	07_Nucleic acid metabolism	111
WM01_S1_012	14_Methanogenesis	10
WM01_S1_012	02_Homoacetogenesis	42
WM01_S1_012	16_Embden Meyerhof-Parnos (EMP)	25
WM01_S1_012	17_Gluconeogenesis	11
WM01_S1_012	11_Nitrogen cycle	8
WM01_S1_012	09_Carbohydrate Active enzyme - CAZy	48
WM01_S1_012	18_Sulfur compounds metabolism	22
WM01_S1_012	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	13
WM01_S1_012	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	5
WM01_S1_012	12_Transporters	62
WM01_S1_012	13_Hydrogen metabolism	1
WM01_S1_016	01_Fermentation	335
WM01_S1_016	21_Cellular response to stress	139
WM01_S1_016	06_Amino acid utilization biosynthesis metabolism	420
WM01_S1_016	05_Fatty acid oxidation	77
WM01_S1_016	15_Methylotrophy	19
WM01_S1_016	02_Homoacetogenesis	35
WM01_S1_016	20_Hydrolysis of polymers	42
WM01_S1_016	19_Saccharide and derivated synthesis	102
WM01_S1_016	07_Nucleic acid metabolism	67
WM01_S1_016	14_Methanogenesis	39
WM01_S1_016	16_Embden Meyerhof-Parnos (EMP)	23
WM01_S1_016	17_Gluconeogenesis	12
WM01_S1_016	10_TCA cycle	9
WM01_S1_016	11_Nitrogen cycle	9
WM01_S1_016	18_Sulfur compounds metabolism	8
WM01_S1_016	08_Hydrocarbon degradation	16
WM01_S1_016	09_Carbohydrate Active enzyme - CAZy	47
WM01_S1_016	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_016	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM01_S1_016	12_Transporters	105
WM01_S1_017	01_Fermentation	150
WM01_S1_017	06_Amino acid utilization biosynthesis metabolism	119
WM01_S1_017	07_Nucleic acid metabolism	30
WM01_S1_017	15_Methylotrophy	5
WM01_S1_017	21_Cellular response to stress	111
WM01_S1_017	14_Methanogenesis	14
WM01_S1_017	05_Fatty acid oxidation	20
WM01_S1_017	08_Hydrocarbon degradation	6
WM01_S1_017	02_Homoacetogenesis	22
WM01_S1_017	09_Carbohydrate Active enzyme - CAZy	20
WM01_S1_017	19_Saccharide and derivated synthesis	70
WM01_S1_017	20_Hydrolysis of polymers	24
WM01_S1_017	18_Sulfur compounds metabolism	14
WM01_S1_017	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM01_S1_017	17_Gluconeogenesis	5
WM01_S1_017	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_017	16_Embden Meyerhof-Parnos (EMP)	10
WM01_S1_017	10_TCA cycle	3
WM01_S1_017	12_Transporters	47
WM01_S1_023	01_Fermentation	89
WM01_S1_023	21_Cellular response to stress	96
