bin	name	count
WM01_S1_002	Metabolism	1432
WM01_S1_002	Human Diseases	267
WM01_S1_002	Brite Hierarchies	1674
WM01_S1_002	Not Included in Pathway or Brite	382
WM01_S1_002	Environmental Information Processing	337
WM01_S1_002	Organismal Systems	142
WM01_S1_002	Cellular Processes	208
WM01_S1_002	Genetic Information Processing	187
WM01_S1_004	Metabolism	1043
WM01_S1_004	Organismal Systems	84
WM01_S1_004	Environmental Information Processing	155
WM01_S1_004	Brite Hierarchies	1241
WM01_S1_004	Human Diseases	235
WM01_S1_004	Not Included in Pathway or Brite	272
WM01_S1_004	Cellular Processes	200
WM01_S1_004	Genetic Information Processing	172
WM01_S1_006	Metabolism	1190
WM01_S1_006	Environmental Information Processing	232
WM01_S1_006	Organismal Systems	144
WM01_S1_006	Cellular Processes	190
WM01_S1_006	Human Diseases	332
WM01_S1_006	Brite Hierarchies	1587
WM01_S1_006	Not Included in Pathway or Brite	384
WM01_S1_006	Genetic Information Processing	240
WM01_S1_007	Metabolism	1415
WM01_S1_007	Environmental Information Processing	263
WM01_S1_007	Cellular Processes	154
WM01_S1_007	Human Diseases	268
WM01_S1_007	Brite Hierarchies	1553
WM01_S1_007	Not Included in Pathway or Brite	354
WM01_S1_007	Organismal Systems	95
WM01_S1_007	Genetic Information Processing	174
WM01_S1_012	Metabolism	1147
WM01_S1_012	Environmental Information Processing	144
WM01_S1_012	Cellular Processes	111
WM01_S1_012	Human Diseases	156
WM01_S1_012	Brite Hierarchies	1169
WM01_S1_012	Not Included in Pathway or Brite	288
WM01_S1_012	Organismal Systems	72
WM01_S1_012	Genetic Information Processing	162
WM01_S1_016	Metabolism	1000
WM01_S1_016	Organismal Systems	37
WM01_S1_016	Human Diseases	50
WM01_S1_016	Brite Hierarchies	666
WM01_S1_016	Not Included in Pathway or Brite	206
WM01_S1_016	Environmental Information Processing	83
WM01_S1_016	Cellular Processes	54
WM01_S1_016	Genetic Information Processing	113
WM01_S1_017	Metabolism	311
WM01_S1_017	Brite Hierarchies	392
WM01_S1_017	Organismal Systems	17
WM01_S1_017	Not Included in Pathway or Brite	130
WM01_S1_017	Environmental Information Processing	49
WM01_S1_017	Cellular Processes	32
WM01_S1_017	Human Diseases	14
WM01_S1_017	Genetic Information Processing	67
WM01_S1_023	Metabolism	496
WM01_S1_023	Brite Hierarchies	464
WM01_S1_023	Environmental Information Processing	63
WM01_S1_023	Human Diseases	25
WM01_S1_023	Genetic Information Processing	66
WM01_S1_023	Not Included in Pathway or Brite	118
WM01_S1_023	Cellular Processes	46
WM01_S1_023	Organismal Systems	9
WM01_S1_025	Metabolism	1504
WM01_S1_025	Brite Hierarchies	2129
WM01_S1_025	Environmental Information Processing	330
WM01_S1_025	Organismal Systems	120
WM01_S1_025	Human Diseases	298
WM01_S1_025	Not Included in Pathway or Brite	531
WM01_S1_025	Cellular Processes	306
WM01_S1_025	Genetic Information Processing	184
WM01_S1_033	Metabolism	392
WM01_S1_033	Brite Hierarchies	536
WM01_S1_033	Not Included in Pathway or Brite	117
WM01_S1_033	Genetic Information Processing	47
WM01_S1_033	Environmental Information Processing	102
WM01_S1_033	Organismal Systems	26
WM01_S1_033	Cellular Processes	84
WM01_S1_033	Human Diseases	37
WM01_S1_034	Metabolism	127
WM01_S1_034	Human Diseases	29
WM01_S1_034	Brite Hierarchies	372
WM01_S1_034	Environmental Information Processing	27
WM01_S1_034	Genetic Information Processing	127
WM01_S1_034	Not Included in Pathway or Brite	44
WM01_S1_034	Cellular Processes	17
WM01_S1_034	Organismal Systems	6
WM01_S1_036	Metabolism	236
WM01_S1_036	Not Included in Pathway or Brite	84
WM01_S1_036	Brite Hierarchies	312
