sample,date,depth,strat_season,use_maestro,sample_date,cdom_24h_avg,chla_24h_avg,cond_24h_avg,do_24h_avg,pres_db_24h_avg,pco2_24h_avg,phyc_24h_avg,mtemp_c_24h_avg,mtemp_2_c_24h_avg,turb_24h_avg,ph_24h_avg,temp_c_24h_med,strat_season_2
WM01,2024-08-18,38,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.400212333537704,summer
WM02,2024-09-01,38,summer,FALSE,2024-09-01,0.8258912993900367,0.0864671325993314,0.0864671325993314,326.343264134421,21.70157187939779,237.16081004407496,0.14081925512302482,17.15856841507882,17.295208333333335,0.1320056804471695,8.060527066313508,4.263810295094104,summer
WM03,2024-09-15,38,summer,FALSE,2024-09-15,1.4526230243277827,0.080630439547662,0.080630439547662,351.19223008762265,21.51276966903239,179.06280874519166,0.31248881188603644,14.008099661910396,14.139952083333334,0.18679013662566982,8.174124912022632,4.438578267968463,summer
WM04,2024-09-29,38,summer,FALSE,2024-09-29,1.0848664583273215,0.08391472417605639,0.08391472417605639,338.8931522815948,21.538701346261306,153.1540501349195,0.2924487991426948,15.748500400637807,15.847958333333334,0.1932313298450481,8.186038956003582,4.375710426920522,summer
WM05,2024-10-13,38,summer,FALSE,2024-10-13,1.0193309197383609,0.07782730905053128,0.07782730905053128,348.0430236609032,21.53745251397985,232.11606888343508,0.30022891766774745,12.337107598668194,12.342181250000001,0.196015650810466,8.036983534721738,4.36100863878757,summer
WM06,2024-10-27,38,summer,FALSE,2024-10-27,1.0202879156316176,0.07413838841155135,0.07413838841155135,359.69866244762466,21.435208230986873,308.75844160662706,0.3255660323855712,10.394536775602713,10.400964583333334,0.16913322796834032,7.939758079195861,5.064363527222917,summer
WM07,2024-11-10,38,summer,TRUE,2024-11-10,1.0362752073861685,0.06982283310284312,0.06982283310284312,373.94590787141374,21.44891021355014,375.534674367542,0.318530818825631,8.180962860573173,8.182989583333333,0.1803097276182181,7.888100007107927,7.4589098663466755,summer
WM08,2024-11-24,38,summer,TRUE,2024-11-24,1.023506640557945,0.06446832234652489,0.06446832234652489,399.1943130968217,21.313897622468627,493.62161585775755,0.26647023848263035,5.475898479611786,5.479835416666667,0.15352534424674028,7.829534890881439,6.464229555446657,summer
WM09,2024-12-08,38,summer,TRUE,2024-12-08,1.1131998592635028,0.06359855675870316,0.06359855675870316,402.1422366078603,21.279927204278145,481.7226486980653,0.22484867355423907,4.881190854207184,4.8847125,0.1363684368894648,NA,5.000923173330901,summer
WM10,2024-12-22,38,fall,TRUE,2024-12-22,1.0747274748094309,0.0623972629101259,0.0623972629101259,405.46480806919215,21.47569923121906,493.5859827501761,0.23631193329595135,4.299995904785955,4.302835416666667,0.18759406028476633,7.685057604537257,4.088209464284217,winter
