bin	id
WM14_S9_032	K00027
WM14_S9_032	K00075
WM14_S9_032	K00088
WM14_S9_032	K00104
WM14_S9_032	K00134
WM14_S9_032	K00260
WM14_S9_032	K00355
WM14_S9_032	K00384
WM14_S9_032	K00525
WM14_S9_032	K00526
WM14_S9_032	K00554
WM14_S9_032	K00560
WM14_S9_032	K00566
WM14_S9_032	K00567
WM14_S9_032	K00600
WM14_S9_032	K00602
WM14_S9_032	K00615
WM14_S9_032	K00640
WM14_S9_032	K00648
WM14_S9_032	K00650
WM14_S9_032	K00762
WM14_S9_032	K00764
WM14_S9_032	K00773
WM14_S9_032	K00789
WM14_S9_032	K00790
WM14_S9_032	K00791
WM14_S9_032	K00799
WM14_S9_032	K00812
WM14_S9_032	K00820
WM14_S9_032	K00891
WM14_S9_032	K00927
WM14_S9_032	K00928
WM14_S9_032	K00940
WM14_S9_032	K00942
WM14_S9_032	K00945
WM14_S9_032	K00950
WM14_S9_032	K00962
WM14_S9_032	K00970
WM14_S9_032	K00973
WM14_S9_032	K01000
WM14_S9_032	K01056
WM14_S9_032	K01069
WM14_S9_032	K01091
WM14_S9_032	K01139
WM14_S9_032	K01142
WM14_S9_032	K01153
WM14_S9_032	K01154
WM14_S9_032	K01156
WM14_S9_032	K01159
WM14_S9_032	K01174
WM14_S9_032	K01178
WM14_S9_032	K01251
WM14_S9_032	K01265
WM14_S9_032	K01354
WM14_S9_032	K01358
WM14_S9_032	K01409
WM14_S9_032	K01462
WM14_S9_032	K01465
WM14_S9_032	K01491
WM14_S9_032	K01493
WM14_S9_032	K01519
WM14_S9_032	K01520
WM14_S9_032	K01534
WM14_S9_032	K01581
WM14_S9_032	K01589
WM14_S9_032	K01591
WM14_S9_032	K01624
WM14_S9_032	K01648
WM14_S9_032	K01649
WM14_S9_032	K01750
WM14_S9_032	K01756
WM14_S9_032	K01776
WM14_S9_032	K01783
WM14_S9_032	K01784
WM14_S9_032	K01803
WM14_S9_032	K01808
WM14_S9_032	K01866
WM14_S9_032	K01867
WM14_S9_032	K01868
WM14_S9_032	K01869
WM14_S9_032	K01870
WM14_S9_032	K01872
WM14_S9_032	K01873
WM14_S9_032	K01874
WM14_S9_032	K01875
WM14_S9_032	K01880
WM14_S9_032	K01881
WM14_S9_032	K01883
WM14_S9_032	K01885
WM14_S9_032	K01890
WM14_S9_032	K01892
WM14_S9_032	K01921
WM14_S9_032	K01924
WM14_S9_032	K01925
WM14_S9_032	K01928
WM14_S9_032	K01929
WM14_S9_032	K01933
WM14_S9_032	K01937
WM14_S9_032	K01945
WM14_S9_032	K01951
WM14_S9_032	K01971
WM14_S9_032	K01972
WM14_S9_032	K01990
WM14_S9_032	K02003
WM14_S9_032	K02005
WM14_S9_032	K02027
WM14_S9_032	K02035
WM14_S9_032	K02108
WM14_S9_032	K02110
WM14_S9_032	K02111
WM14_S9_032	K02114
WM14_S9_032	K02115
WM14_S9_032	K02133
WM14_S9_032	K02199
WM14_S9_032	K02238
WM14_S9_032	K02242
WM14_S9_032	K02257
WM14_S9_032	K02298
WM14_S9_032	K02299
WM14_S9_032	K02300
WM14_S9_032	K02313
WM14_S9_032	K02314
WM14_S9_032	K02316
WM14_S9_032	K02335
WM14_S9_032	K02337
WM14_S9_032	K02338
WM14_S9_032	K02341
WM14_S9_032	K02343
WM14_S9_032	K02355
WM14_S9_032	K02356
WM14_S9_032	K02358
WM14_S9_032	K02433
WM14_S9_032	K02434
WM14_S9_032	K02469
WM14_S9_032	K02470
WM14_S9_032	K02485
WM14_S9_032	K02518
WM14_S9_032	K02519
WM14_S9_032	K02520
WM14_S9_032	K02528
WM14_S9_032	K02563
WM14_S9_032	K02600
WM14_S9_032	K02601
WM14_S9_032	K02613
WM14_S9_032	K02638
WM14_S9_032	K02650
WM14_S9_032	K02652
WM14_S9_032	K02653
WM14_S9_032	K02654
WM14_S9_032	K02658
WM14_S9_032	K02662
WM14_S9_032	K02835
WM14_S9_032	K02836
WM14_S9_032	K02847
WM14_S9_032	K02864
WM14_S9_032	K02878
WM14_S9_032	K02879
WM14_S9_032	K02886
WM14_S9_032	K02888
WM14_S9_032	K02897
WM14_S9_032	K02906
WM14_S9_032	K02909
WM14_S9_032	K02933
WM14_S9_032	K02945
WM14_S9_032	K02946
WM14_S9_032	K02948
WM14_S9_032	K02956
WM14_S9_032	K02968
WM14_S9_032	K02996
WM14_S9_032	K03040
WM14_S9_032	K03043
WM14_S9_032	K03046
WM14_S9_032	K03072
