user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WM01_S1_MAGScoT_cleanbin_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.97	11	0.96545	N/A
WM01_S1_MAGScoT_cleanbin_000002	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.72	11	0.95374	N/A
WM01_S1_MAGScoT_cleanbin_000003	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	GCA_903920435.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	98.43	0.897	GCA_903920435.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	98.43	0.897	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001725325.1, s__Rhodoglobus sp001725325, 95.0, 86.53, 0.401; GCA_025463515.1, s__Rhodoglobus sp025463515, 95.0, 84.76, 0.273	96.52	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000004	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_B;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_B;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	95.91	11	0.85869	N/A
WM01_S1_MAGScoT_cleanbin_000005	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016786805	GCA_016786805.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016786805	98.85	0.874	GCA_016786805.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016786805	98.85	0.874	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017303455.1, s__JJ008 sp017303455, 95.0, 91.57, 0.692; GCA_902826165.1, s__JJ008 sp902826165, 95.0, 91.43, 0.748; GCA_002400415.1, s__JJ008 sp002400415, 95.0, 85.49, 0.402	96.88	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000006	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAIKAF01;f__CAIKAF01;g__JANWKQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAIKAF01;f__CAIKAF01;g__JANWKQ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.09	11	0.96514	N/A
WM01_S1_MAGScoT_cleanbin_000007	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.28	11	0.98253	Genome has more than 14.2% of markers with multiple hits
WM01_S1_MAGScoT_cleanbin_000008	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	GCA_017996795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	95.81	0.8	GCA_017996795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	95.81	0.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002281875.1, s__Sediminibacterium sp002281875, 95.0, 89.99, 0.603; GCA_001829005.1, s__Sediminibacterium sp001829005, 95.0, 89.86, 0.637; GCF_030695065.1, s__Sediminibacterium sp030695065, 95.0, 87.82, 0.497; GCA_002281575.1, s__Sediminibacterium sp002281575, 95.0, 87.3, 0.468; GCA_002786355.1, s__Sediminibacterium sp002786355, 95.0, 84.97, 0.27	93.21	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000009	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__CAIYMF01;g__WLRQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__CAIYMF01;g__WLRQ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.21	11	0.91797	N/A
WM01_S1_MAGScoT_cleanbin_000010	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	N/A	N/A	N/A	N/A	N/A	GCF_025938155.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp025938155	83.96	0.17	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_020179425.1, s__Novosphingobium percolationis, 95.0, 84.11, 0.176	93.05	11	0.988	N/A
