sample	genome	completeness	contamination	d	p	c	o	f	g	s	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	completeness_model_used	translation_table_used	coding_density	contig_n50	average_gene_length	genome_size	gc_content	total_coding_sequences	total_contigs	max_contig_length	additional_notes
WM17	WM17_S12_001	100	0.51	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__2-12-FULL-35-15	f__2-12-FULL-35-15	g__2-12-FULL-35-15	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	97.04	11	0.96569	NA	Gradient Boost (General Model)	11	0.916	246511	377.7172140694153	5303688	0.39	4293	48	578799	None
WM17	WM17_S12_002	99.79	0.66	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	97.76	11	0.9763	NA	Gradient Boost (General Model)	11	0.892	342161	358.686797752809	6004772	0.4	4984	62	637787	None
WM17	WM17_S12_003	99.91	0.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UKL13-3	g__UKL13-3	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__UKL13-3;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	96.54	11	0.97036	NA	Neural Network (Specific Model)	11	0.916	221220	361.6886622675465	3944150	0.42	3334	30	510618	None
WM17	WM17_S12_004	100	3.73	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	97.02	11	0.98425	NA	Gradient Boost (General Model)	11	0.896	162978	340.5200729927007	5613630	0.45	4932	54	508838	None
WM17	WM17_S12_005	100	1.77	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__UBA4416	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	97.2	11	0.97421	NA	Neural Network (Specific Model)	11	0.927	70717	359.6778036778037	4490419	0.34	3861	95	251132	None
WM17	WM17_S12_006	100	2.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__LD1	g__Bog-950	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	97.86	11	0.94139	NA	Gradient Boost (General Model)	11	0.913	80914	345.4498529018454	4237685	0.4	3739	113	189666	None
WM17	WM17_S12_007	99.79	0.07	d__Bacteria	p__Bacteroidota	c__Kapaibacteriia	o__Kapaibacteriales	f__UBA2268	g__JAPLFM01	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JAPLFM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	NA	97.2	11	0.85952	NA	Gradient Boost (General Model)	11	0.91	99247	360.15355285961874	3421284	0.34	2885	57	513355	None
WM17	WM17_S12_008	96.69	0.1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	92.35	11	0.99222	NA	Gradient Boost (General Model)	11	0.926	28740	298.47981917985146	2987432	0.51	3097	178	124185	None
WM17	WM17_S12_009	89.67	1.64	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E parakoreensis	GCF_021602155.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E parakoreensis	96.29	0.809	GCF_021602155.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E parakoreensis	96.29	0.809	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004683905.1, s__Pseudomonas_E putida_A, 95.0, 93.65, 0.735; GCF_000282275.2, s__Pseudomonas_E sp000282275, 95.0, 93.07, 0.714; GCF_011605305.1, s__Pseudomonas_E koreensis_G, 95.0, 93.05, 0.715; GCF_000631985.1, s__Pseudomonas_E sp000631985, 95.0, 92.96, 0.707; GCF_000292795.1, s__Pseudomonas_E fluorescens_H, 95.0, 92.4, 0.667; GCF_003061005.1, s__Pseudomonas_E sp003061005, 95.0, 91.81, 0.625; GCF_012986595.1, s__Pseudomonas_E koreensis, 95.0, 91.66, 0.643; GCF_002878485.1, s__Pseudomonas_E sp002878485, 95.0, 91.25, 0.625; GCF_028830055.1, s__Pseudomonas_E serboccidentalis, 95.0, 91.25, 0.624; GCF_000633255.1, s__Pseudomonas_E sp000633255, 95.0, 90.9, 0.602; GCF_003732425.1, s__Pseudomonas_E fluorescens_BE, 95.0, 89.64, 0.467; GCF_030209175.1, s__Pseudomonas_E sp030209175, 95.0, 89.59, 0.444; GCF_016651305.1, s__Pseudomonas_E sp016651305, 95.0, 89.57, 0.484; GCF_018326005.1, s__Pseudomonas_E sp002901475, 95.0, 89.55, 0.469; GCF_018336155.1, s__Pseudomonas_E rustica, 95.0, 89.52, 0.414; GCF_014268445.2, s__Pseudomonas_E tensinigenes, 95.0, 89.49, 0.452; GCF_900182985.1, s__Pseudomonas_E helmanticensis, 95.0, 89.48, 0.454; GCF_015461835.1, s__Pseudomonas_E neuropathica, 95.0, 89.48, 0.452; GCF_014268495.2, s__Pseudomonas_E monsensis, 95.0, 89.47, 0.492; GCF_023634765.1, s__Pseudomonas_E sp023634765, 95.0, 89.41, 0.439; GCF_002813455.1, s__Pseudomonas_E baetica, 95.0, 89.38, 0.444; GCF_004011755.1, s__Pseudomonas_E sp004011755, 95.0, 89.37, 0.445; GCF_000282515.1, s__Pseudomonas_E sp000282515, 95.0, 89.34, 0.441; GCF_003352185.1, s__Pseudomonas_E kribbensis, 95.0, 89.34, 0.414; GCF_011369485.1, s__Pseudomonas_E atagonensis, 95.0, 89.33, 0.452; GCF_017498465.1, s__Pseudomonas_E fluorescens_CA, 95.0, 89.3, 0.417; GCF_021602345.1, s__Pseudomonas_E pharyngis, 95.0, 89.3, 0.41; GCF_022662375.1, s__Pseudomonas_E sp022662375, 95.0, 89.29, 0.449; GCF_013433315.1, s__Pseudomonas_E crudilactis, 95.0, 89.29, 0.444; GCF_029543085.1, s__Pseudomonas_E sp029543085, 95.0, 89.28, 0.455; GCF_001648775.1, s__Pseudomonas_E fluorescens_M, 95.0, 89.28, 0.451; GCF_018138145.1, s__Pseudomonas_E koreensis_A, 95.0, 89.28, 0.444; GCA_900582195.1, s__Pseudomonas_E sp900582195, 95.0, 89.27, 0.437; GCF_000802985.1, s__Pseudomonas_E fluorescens_BZ, 95.0, 89.26, 0.457; GCF_028656995.1, s__Pseudomonas_E sp028656995, 95.0, 89.25, 0.452; GCF_001297015.1, s__Pseudomonas_E sp001297015, 95.0, 89.25, 0.449; GCF_014863585.1, s__Pseudomonas_E gozinkensis, 95.0, 89.25, 0.44; GCF_002113125.1, s__Pseudomonas_E sp002113125, 95.0, 89.25, 0.426; GCF_014863605.1, s__Pseudomonas_E allokribbensis, 95.0, 89.25, 0.399; GCF_023375815.1, s__Pseudomonas_E sp023375815, 95.0, 89.24, 0.405; GCA_900580865.1, s__Pseudomonas_E sp900580865, 95.0, 89.22, 0.444; GCF_025447595.1, s__Pseudomonas_E koreensis_H, 95.0, 89.21, 0.428; GCA_000783395.1, s__Pseudomonas_E chlororaphis_H, 95.0, 89.2, 0.449; GCF_900187605.1, s__Pseudomonas_E sp900187605, 95.0, 89.17, 0.448; GCF_009834515.1, s__Pseudomonas_E sp009834515, 95.0, 89.17, 0.443; GCF_020544405.1, s__Pseudomonas_E sp002113045, 95.0, 89.17, 0.395; GCF_005938625.1, s__Pseudomonas_E fluorescens_BD, 95.0, 89.15, 0.442; GCF_902497745.1, s__Pseudomonas_E fluorescens_BM, 95.0, 89.14, 0.449; GCF_021601625.1, s__Pseudomonas_E paraglycinae, 95.0, 89.11, 0.409; GCF_016650635.1, s__Pseudomonas_E sp016650635, 95.0, 89.09, 0.432; GCF_030344995.1, s__Pseudomonas_E fluorescens_BF, 95.0, 89.08, 0.418; GCF_021018765.1, s__Pseudomonas_E fitomaticsae, 95.0, 89.08, 0.415; GCF_030687715.1, s__Pseudomonas_E sp030687715, 95.0, 89.06, 0.441; GCF_021603585.1, s__Pseudomonas_E sputi, 95.0, 89.02, 0.382; GCF_001594225.2, s__Pseudomonas_E glycinae, 95.0, 88.96, 0.41; GCF_009764645.1, s__Pseudomonas_E sp009764645, 95.0, 88.95, 0.419; GCF_017976235.1, s__Pseudomonas_E anatoliensis, 95.0, 88.94, 0.414; GCF_025397885.1, s__Pseudomonas_E iridis, 95.0, 88.91, 0.418; GCF_014472415.1, s__Pseudomonas_E sp014472415, 95.0, 88.89, 0.427; GCF_012974785.1, s__Pseudomonas_E fluorescens_BT, 95.0, 88.87, 0.42; GCA_902825215.1, s__Pseudomonas_E fluorescens_G, 95.0, 88.86, 0.384; GCF_019733355.1, s__Pseudomonas_E baetica_A, 95.0, 88.78, 0.399; GCF_002112385.1, s__Pseudomonas_E sp002112385, 95.0, 88.78, 0.394; GCF_019145475.1, s__Pseudomonas_E botevensis, 95.0, 88.7, 0.396; GCA_030544685.1, s__Pseudomonas_E fluorescens_AO, 95.0, 88.68, 0.378; GCF_019145195.1, s__Pseudomonas_E siliginis, 95.52, 88.65, 0.372; GCF_025706525.1, s__Pseudomonas_E mercuritolerans, 95.24, 88.64, 0.371; GCF_014268585.2, s__Pseudomonas_E iranensis, 95.0, 88.6, 0.377; GCF_004801935.1, s__Pseudomonas_E atacamensis, 96.51, 88.59, 0.38; GCF_900105485.1, s__Pseudomonas_E granadensis, 95.0, 88.58, 0.374; GCF_019145375.1, s__Pseudomonas_E triticicola, 96.22, 88.54, 0.366; GCF_014268595.2, s__Pseudomonas_E hamedanensis, 95.0, 88.46, 0.37; GCF_016651255.1, s__Pseudomonas_E sp016651255, 95.0, 88.43, 0.25; GCF_002836515.1, s__Pseudomonas_E sp002836515, 95.0, 88.39, 0.344; GCF_024169245.1, s__Pseudomonas_E koreensis_F, 95.0, 88.35, 0.369; GCF_001679645.1, s__Pseudomonas_E bananamidigenes, 95.0, 88.3, 0.375; GCF_900105805.1, s__Pseudomonas_E moraviensis_A, 95.0, 88.3, 0.36; GCF_014268505.2, s__Pseudomonas_E khorasanensis, 95.0, 88.26, 0.351; GCF_900636825.1, s__Pseudomonas_E fluorescens_BG, 95.0, 88.24, 0.35; GCA_030856525.1, s__Pseudomonas_E sp030856525, 95.0, 87.88, 0.157; GCA_021605415.1, s__Pseudomonas_E syringae_S, 95.0, 87.82, 0.301; GCF_019145435.1, s__Pseudomonas_E ekonensis, 95.0, 87.81, 0.338; GCF_000282195.1, s__Pseudomonas_E sp000282195, 95.0, 87.71, 0.237; GCF_001427125.1, s__Pseudomonas_E sp001427125, 95.0, 87.63, 0.217; GCF_001655615.1, s__Pseudomonas_E sp001655615, 95.0, 87.54, 0.247; GCF_028682635.1, s__Pseudomonas_E putida_AE, 95.0, 87.53, 0.229; GCF_002934665.1, s__Pseudomonas_E laurylsulfatiphila, 95.0, 87.5, 0.245; GCF_900187565.1, s__Pseudomonas_E sp900187565, 95.0, 87.5, 0.241; GCF_003151075.1, s__Pseudomonas_E sp003151075, 95.0, 87.49, 0.269; GCF_024970185.1, s__Pseudomonas_E sp024970185, 95.0, 87.48, 0.269; GCF_002236115.1, s__Pseudomonas_E jessenii, 95.0, 87.48, 0.253; GCF_902498135.1, s__Pseudomonas_E fluorescens_BH, 95.0, 87.44, 0.251; GCF_009764265.1, s__Pseudomonas_E sp009764265, 95.0, 87.43, 0.266; GCF_019956575.1, s__Pseudomonas_E sp019956575, 95.0, 87.42, 0.255; GCF_000802965.1, s__Pseudomonas_E fluorescens_A, 95.0, 87.42, 0.243; GCF_012935755.1, s__Pseudomonas_E sp012935755, 95.0, 87.39, 0.289; GCF_002906155.1, s__Pseudomonas_E laurylsulfativorans, 95.0, 87.39, 0.242; GCF_001429045.1, s__Pseudomonas_E sp001429045, 95.0, 87.39, 0.241; GCF_024296925.1, s__Pseudomonas_E nunensis, 95.0, 87.38, 0.292; GCF_002236105.1, s__Pseudomonas_E umsongensis, 95.0, 87.37, 0.213; GCF_000282495.1, s__Pseudomonas_E sp000282495, 95.0, 87.36, 0.244; GCF_000282335.1, s__Pseudomonas_E sp000282335, 95.0, 87.35, 0.238; GCF_019145495.1, s__Pseudomonas_E azerbaijanoccidentalis, 95.0, 87.35, 0.237; GCF_003732665.1, s__Pseudomonas_E frederiksbergensis_G, 95.0, 87.33, 0.285; GCF_001297125.1, s__Pseudomonas_E sp001297125, 95.0, 87.33, 0.244; GCF_030687145.1, s__Pseudomonas_E frederiksbergensis_D, 95.0, 87.32, 0.26; GCF_003732705.1, s__Pseudomonas_E frederiksbergensis_F, 95.0, 87.31, 0.279; GCF_024809425.1, s__Pseudomonas_E sp024809425, 95.0, 87.31, 0.244; GCF_003258965.1, s__Pseudomonas_E fluorescens_CC, 95.0, 87.3, 0.246; GCF_006438915.1, s__Pseudomonas_E arsenicoxydans_A, 95.0, 87.29, 0.258; GCF_018502625.1, s__Pseudomonas_E fluorescens_BW, 95.0, 87.29, 0.258; GCF_900187615.1, s__Pseudomonas_E sp900187615, 95.0, 87.29, 0.218; GCF_002091715.1, s__Pseudomonas_E migulae, 95.0, 87.28, 0.246; GCF_019956555.1, s__Pseudomonas_E sp019956555, 95.0, 87.28, 0.238; GCF_020423045.1, s__Pseudomonas_E sp000282415, 95.0, 87.27, 0.266; GCF_019955895.1, s__Pseudomonas_E sp019955895, 95.0, 87.27, 0.249; GCF_003050925.1, s__Pseudomonas_E sp003050925, 95.0, 87.27, 0.237; GCF_001317545.1, s__Pseudomonas_E fluorescens_CD, 95.0, 87.27, 0.237; GCF_001945365.1, s__Pseudomonas_E reinekei, 95.0, 87.27, 0.234; GCF_028471945.1, s__Pseudomonas_E sp000282475, 95.0, 87.27, 0.231; GCF_002277815.1, s__Pseudomonas_E sp002277815, 95.0, 87.27, 0.209; GCF_902498195.1, s__Pseudomonas_E fluorescens_BU, 95.0, 87.26, 0.244; GCF_024168645.1, s__Pseudomonas_E sp024168645, 95.0, 87.26, 0.239; GCF_001421885.1, s__Pseudomonas_E sp001421885, 95.0, 87.25, 0.206; GCF_018449725.1, s__Pseudomonas_E sp018449725, 95.0, 87.24, 0.302; GCF_000967965.1, s__Pseudomonas_E fluorescens_O, 95.0, 87.24, 0.25; GCF_025466085.1, s__Pseudomonas_E sp025466085, 95.0, 87.24, 0.24; GCF_009761815.1, s__Pseudomonas_E sp009761815, 95.0, 87.24, 0.233; GCF_008801475.1, s__Pseudomonas_E moorei, 95.0, 87.24, 0.223; GCF_015461845.1, s__Pseudomonas_E mucoides, 95.0, 87.23, 0.266; GCF_004348895.1, s__Pseudomonas_E vancouverensis, 95.0, 87.23, 0.238; GCF_028823535.1, s__Pseudomonas_E serbica, 95.0, 87.22, 0.223; GCF_000282375.1, s__Pseudomonas_E sp000282375, 95.0, 87.21, 0.252; GCF_024749285.1, s__Pseudomonas_E sp024749285, 95.0, 87.21, 0.252; GCF_003732275.1, s__Pseudomonas_E frederiksbergensis_H, 95.0, 87.21, 0.241; GCF_019145235.1, s__Pseudomonas_E farris, 95.0, 87.18, 0.243; GCF_013359595.1, s__Pseudomonas_E sp013359595, 95.0, 87.18, 0.241; GCF_003228315.1, s__Pseudomonas_E putida_S, 95.0, 87.18, 0.239; GCF_001042905.1, s__Pseudomonas_E lini, 95.0, 87.18, 0.239; GCF_000293885.2, s__Pseudomonas_E fluorescens_B, 95.0, 87.17, 0.262; GCF_024169315.1, s__Pseudomonas_E migulae_B, 95.0, 87.16, 0.262; GCF_003732265.1, s__Pseudomonas_E brassicacearum_D, 95.0, 87.16, 0.259; GCF_013359695.1, s__Pseudomonas_E sp013359695, 95.0, 87.16, 0.235; GCF_016651105.1, s__Pseudomonas_E sp016651105, 95.0, 87.15, 0.301; GCF_002303925.1, s__Pseudomonas_E sp002303925, 95.0, 87.15, 0.247; GCF_004310295.1, s__Pseudomonas_E sp004310295, 95.0, 87.15, 0.238; GCF_000282355.1, s__Pseudomonas_E sp000282355, 95.0, 87.14, 0.231; GCF_002113375.1, s__Pseudomonas_E sp002113375, 95.0, 87.14, 0.229; GCF_030053115.1, s__Pseudomonas_E sp030053115, 95.0, 87.12, 0.229; GCF_000282455.1, s__Pseudomonas_E sp000282455, 95.0, 87.11, 0.236; GCA_023612115.1, s__Pseudomonas_E frederiksbergensis_K, 95.0, 87.11, 0.235; GCF_002113025.1, s__Pseudomonas_E sp002113025, 95.0, 87.11, 0.232; GCF_900105115.1, s__Pseudomonas_E mohnii, 95.0, 87.11, 0.22; GCF_900103875.1, s__Pseudomonas_E arsenicoxydans, 95.0, 87.1, 0.252; GCF_902497855.1, s__Pseudomonas_E fluorescens_BI, 95.0, 87.1, 0.216; GCF_004136015.1, s__Pseudomonas_E sp004136015, 95.0, 87.07, 0.246; GCF_029963765.1, s__Pseudomonas_E sp029963765, 95.0, 87.07, 0.231; GCF_026241895.1, s__Pseudomonas_E mandelii_F, 95.0, 87.07, 0.19; GCF_902498065.1, s__Pseudomonas_E fluorescens_BJ, 95.0, 87.06, 0.247; GCF_024138395.1, s__Pseudomonas_E mandelii_E, 95.0, 87.06, 0.234; GCF_024748615.1, s__Pseudomonas_E sp024748615, 95.0, 87.05, 0.217; GCF_000282315.2, s__Pseudomonas_E sp000282315, 95.0, 87.03, 0.244; GCF_902497785.1, s__Pseudomonas_E fluorescens_BO, 95.0, 87.03, 0.237; GCF_900106065.1, s__Pseudomonas_E mandelii, 95.0, 87.02, 0.275; GCF_006438925.1, s__Pseudomonas_E mandelii_C, 95.0, 87.02, 0.253; GCF_009861505.1, s__Pseudomonas_E izuensis, 95.0, 87.02, 0.233; GCF_001984065.1, s__Pseudomonas_E sp001984065, 95.0, 87.02, 0.233; GCF_024748695.1, s__Pseudomonas_E sp002000165, 95.0, 87.0, 0.235; GCF_902497995.1, s__Pseudomonas_E fluorescens_BK, 95.0, 86.99, 0.207; GCF_020164475.1, s__Pseudomonas_E sp020164475, 95.0, 86.97, 0.229; GCF_008370045.1, s__Pseudomonas_E sp008370045, 95.0, 86.96, 0.277; GCF_000968015.1, s__Pseudomonas_E fluorescens_W, 95.0, 86.96, 0.253; GCF_014851765.1, s__Pseudomonas_E sp014851765, 95.0, 86.96, 0.233; GCF_000512695.2, s__Pseudomonas_E sp000512695, 95.0, 86.96, 0.228; GCF_001269805.1, s__Pseudomonas_E sp001269805, 95.0, 86.96, 0.211; GCF_016650815.1, s__Pseudomonas_E sp016650815, 95.0, 86.91, 0.255; GCF_030687415.1, s__Pseudomonas_E sp030687415, 95.0, 86.9, 0.239; GCF_019212185.1, s__Pseudomonas_E sp002980155, 95.0, 86.9, 0.159; GCF_017114915.1, s__Pseudomonas_E frederiksbergensis_I, 95.0, 86.89, 0.236; GCF_001661075.1, s__Pseudomonas_E silesiensis, 95.0, 86.89, 0.211; GCF_900105155.1, s__Pseudomonas_E prosekii, 95.0, 86.88, 0.236; GCF_019200975.1, s__Pseudomonas_E sp019200975, 95.0, 86.86, 0.227; GCF_900187425.1, s__Pseudomonas_E sp900187425, 95.0, 86.83, 0.238; GCF_016650695.1, s__Pseudomonas_E sp016650695, 95.0, 86.83, 0.217; GCF_002286815.1, s__Pseudomonas_E sp002286815, 95.0, 86.78, 0.215; GCF_014236655.1, s__Pseudomonas_E kielensis, 95.0, 86.78, 0.169; GCF_029960815.1, s__Pseudomonas_E sp029960815, 95.0, 86.77, 0.209; GCF_900105495.1, s__Pseudomonas_E frederiksbergensis, 95.0, 86.76, 0.234; GCF_006094435.1, s__Pseudomonas_E sp002029345, 95.0, 86.76, 0.219; GCF_008801605.1, s__Pseudomonas_E brassicacearum, 95.0, 86.76, 0.171; GCF_010095445.2, s__Pseudomonas_E sp010095445, 95.0, 86.73, 0.187; GCF_900187445.1, s__Pseudomonas_E sp900187445, 95.0, 86.7, 0.222; GCF_019956415.1, s__Pseudomonas_E sp019956415, 95.0, 86.69, 0.218; GCF_017968885.1, s__Pseudomonas_E sp017968885, 95.0, 86.69, 0.159; GCF_008369325.1, s__Pseudomonas_E sp008369325, 95.0, 86.67, 0.227; GCF_000217955.3, s__Pseudomonas_E fluorescens_AQ, 95.0, 86.65, 0.173; GCF_003945765.1, s__Pseudomonas_E chlororaphis, 95.0, 86.62, 0.184; GCF_000282215.1, s__Pseudomonas_E sp000282215, 95.0, 86.61, 0.199; GCF_000690905.1, s__Pseudomonas_E sp000690905, 95.0, 86.59, 0.176; GCF_003732225.1, s__Pseudomonas_E brassicacearum_E, 95.0, 86.58, 0.187; GCF_902497625.1, s__Pseudomonas_E fluorescens_BQ, 95.0, 86.58, 0.167; GCF_001269885.1, s__Pseudomonas_E kilonensis, 95.0, 86.58, 0.159; GCF_030687875.1, s__Pseudomonas_E sp900581005, 95.0, 86.58, 0.157; GCF_025465945.1, s__Pseudomonas_E sp025465945, 95.0, 86.56, 0.176; GCF_013347965.1, s__Pseudomonas_E bijieensis, 95.0, 86.51, 0.167; GCF_017114825.1, s__Pseudomonas_E gregormendelii, 95.0, 86.48, 0.186; GCF_023072615.1, s__Pseudomonas_E sp023072615, 95.0, 86.47, 0.169; GCF_900107395.1, s__Pseudomonas_E sp900107395, 95.0, 86.45, 0.178; GCF_001307275.1, s__Pseudomonas_E fluorescens_AA, 95.0, 86.43, 0.171; GCF_004786035.1, s__Pseudomonas_E viciae, 95.0, 86.43, 0.161; GCF_018325905.1, s__Pseudomonas_E sp018325905, 95.0, 86.42, 0.154; GCF_014268745.2, s__Pseudomonas_E zanjanensis, 95.0, 86.42, 0.154; GCF_900109995.1, s__Pseudomonas_E sp900109995, 95.0, 86.41, 0.176; GCF_007713465.1, s__Pseudomonas_E sp007713465, 95.0, 86.41, 0.175; GCF_001307155.1, s__Pseudomonas_E fluorescens_E, 95.0, 86.4, 0.188; GCF_900187505.1, s__Pseudomonas_E sp900187505, 95.0, 86.4, 0.176; GCF_009834545.1, s__Pseudomonas_E sp900187635, 95.0, 86.4, 0.159; GCF_003850345.1, s__Pseudomonas_E piscium, 95.0, 86.37, 0.189; GCF_030687895.1, s__Pseudomonas_E sp030687895, 95.0, 86.37, 0.154; GCF_030812475.1, s__Pseudomonas_E lini_A, 95.0, 86.35, 0.199; GCF_003033885.1, s__Pseudomonas_E rhizophila, 95.0, 86.35, 0.154; GCF_001874645.1, s__Pseudomonas_E frederiksbergensis_B, 95.0, 86.34, 0.171; GCF_918698105.1, s__Pseudomonas_E brassicacearum_F, 95.0, 86.29, 0.163; GCF_000585995.1, s__Pseudomonas_E brassicacearum_A, 95.0, 86.28, 0.157; GCF_003732175.1, s__Pseudomonas_E brassicacearum_G, 95.0, 86.27, 0.183; GCF_013466605.1, s__Pseudomonas_E chlororaphis_I, 95.0, 86.26, 0.184; GCF_001269655.1, s__Pseudomonas_E thivervalensis, 95.0, 86.23, 0.159; GCF_013608025.1, s__Pseudomonas_E neoaurantiaca, 95.0, 86.22, 0.15; GCF_018614775.1, s__Pseudomonas_E fluorescens_BY, 95.0, 86.2, 0.16; GCF_030064125.1, s__Pseudomonas_E sp030064125, 95.0, 86.18, 0.156; GCF_001623525.1, s__Pseudomonas_E fluorescens_Q, 95.0, 86.17, 0.158; GCF_030580855.1, s__Pseudomonas_E sp030580855, 95.0, 86.16, 0.157; GCF_002018875.1, s__Pseudomonas_E sp002018875, 95.0, 86.14, 0.164; GCF_009601685.2, s__Pseudomonas_E kilonensis_B, 95.0, 86.12, 0.157; GCF_022952855.1, s__Pseudomonas_E sp022952855, 95.0, 86.11, 0.155; GCF_002251635.1, s__Pseudomonas_E mandelii_B, 95.0, 86.05, 0.2; GCF_000397205.1, s__Pseudomonas_E protegens, 95.0, 85.99, 0.15; GCF_001921865.1, s__Pseudomonas_E chlororaphis_D, 95.0, 85.97, 0.179; GCF_021341665.1, s__Pseudomonas_E sp021341665, 95.0, 85.97, 0.155; GCA_001023535.1, s__Pseudomonas_E chlororaphis_E, 95.0, 85.96, 0.15; GCF_000931465.1, s__Pseudomonas_E sp000931465, 95.0, 85.95, 0.176; GCF_013407925.2, s__Pseudomonas_E fluorescens_AP, 95.0, 85.75, 0.152; GCF_001547895.1, s__Pseudomonas_E sp001547895, 95.0, 85.52, 0.156	90.55	11	NA	NA	Neural Network (Specific Model)	11	0.88	9498	302.9267872523686	5983266	0.6	5805	765	110363	None
WM17	WM17_S12_010	94.93	4.2	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__	NA	NA	NA	NA	NA	GCA_020160915.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp020160915	92.94	0.708	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	NA	91.6	11	0.99649	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Gradient Boost (General Model)	11	0.933	22658	291.1342578931838	3164447	0.67	3389	204	76731	None
